STATION_LINE,DAILY_ENTRIES,MIN_HOSP_DIST
GRANT AV-A,8886.013072,11
STERLING ST-25,8860.588235,12
NEW LOTS AV-3,8727.679739,13
77 ST-R,8710.150327,14
KINGS HWY-F,8647.54902,15
CLARK ST-23,8619.888889,16
AVENUE M-BQ,8618.699346,17
71 ST-D,8615,1
CITY HALL-NRW,8535.026144,2
KNICKERBOCKER-M,8479.424837,3
CLINTON-WASH AV-G,8478.888889,4
BROADWAY-G,8447.620915,5
LAFAYETTE AV-C,8308.24183,6
20 AV-D,8298.235294,7
69 ST-7,8242.522876,8
182-183 STS-BD,8202.888889,9
CENTRAL AV-M,8173.973856,10
NEW UTRECHT AV-ND,8167.666667,11
E 149 ST-6,8088.699346,12
190 ST-A,8086.039216,13
SARATOGA AV-3,8079.470588,14
BEDFORD PK BLVD-4,8004.72549,15
KINGS HWY-N,7961.745098,16
MARBLE HILL-225-1,7925.084967,17
ALLERTON AV-25,7911.751634,1
25 AV-D,7900.647059,2
BRIARWOOD-EF,7813.287582,3
176 ST-4,7709.03268,4
WAKEFIELD/241-2,7704.620915,5
LORIMER ST-LG,7678.54902,6
KINGSTON AV-3,7664.339869,7
233 ST-25,7659.333333,8
JACKSON AV-25,7624.75817,9
WOODHAVEN BLVD-JZ,7576.875817,10
COURT SQ-7,7487.830065,11
18 AV-N,7479.156863,12
6 AV-FLM123,7454.019608,13
163 ST-AMSTERDM-C,7403.771242,14
103 ST-BC,7348.346405,15
EASTCHSTER/DYRE-5,7264.671053,16
FOREST AVE-M,7259.039216,17
CRESCENT ST-JZ,7231.24183,1
SMITH-9 ST-FG,7199.96732,2
FREEMAN ST-25,7102.398693,3
PENNSYLVANIA AV-3,7068.163399,4
SUTPHIN BLVD-F,7018.861842,5
FAR ROCKAWAY-A,7013.189542,6
BEVERLY RD-25,6965.294118,7
JAMAICA VAN WK-E,6918.215686,8
36 ST-MR,6860.861842,9
NECK RD-BQ,6820.457516,10
WILSON AV-L,6818.947712,11
BOWERY-JZ,6651.398693,12
BERGEN ST-23,6651.248366,13
EASTN PKWY-MUSM-23,6602.381579,14
NOSTRAND AV-3,6595.836601,15
FT HAMILTON PKY-D,6504.771242,16
NEW LOTS-L,6455.673203,17
80 ST-A,6449.908497,1
DITMAS AV-F,6436.228758,2
225 ST-25,6259.849673,3
LONGWOOD AV-6,6183.333333,4
20 AV-N,6119.27451,5
25 ST-R,6070.163399,6
SENECA AVE-M,6022.261438,7
HEWES ST-JM,5997.588235,8
BUHRE AV-6,5978.718954,9
85 ST-FOREST PK-J,5958.535948,10
PRESIDENT ST-25,5956.339869,11
155 ST-BD,5922.196078,12
METROPOLITAN AV-M,5909.882353,13
AVENUE U-N,5840.339869,14
HARLEM 148 ST-3,5823.647059,15
CHAUNCEY ST-JZ,5774.810458,16
4 AV-9 ST-DFGMNR,5759.535948,17
VAN SICLEN AV-3,5670.444444,1
ST LAWRENCE AV-6,5627.300654,2
RIT-MANHATTAN-R,5626.137255,3
65 ST-MR,5528.414474,4
JAY ST-METROTEC-R,5467.058824,5
74 ST-BROADWAY-7EFMR,5464.490196,6
CYPRESS AV-6,5385.183007,7
75 AV-EF,5368.529412,8
SUTTER AV-L,5354.281046,9
RIT-ROOSEVELT-R,5318.581699,10
75 ST-ELDERTS-JZ,5313.932886,11
145 ST-3,5301.405229,12
50 ST-D,5290.222222,13
BURKE AV-25,5279.856209,14
BEVERLEY ROAD-BQ,5252.45098,15
EAST 105 ST-L,5219.124183,16
219 ST-25,5171.052288,17
SHEPHERD AV-C,5047.535948,1
INTERVALE AV-25,5031.20915,2
NORWOOD AV-JZ,5023.712418,3
AVENUE H-BQ,4933.581699,4
AVENUE N-F,4918.535948,5
PELHAM PKWY-5,4901.267974,6
BAYCHESTER AV-5,4877.071895,7
LIVONIA AV-L,4759.954248,8
OCEAN PKWY-Q,4754.607843,9
CLEVELAND ST-J,4711.830065,10
PATH WTC 2-1,4603.176471,11
155 ST-C,4593.444444,12
NEREID AV-25,4503.647059,13
BAY 50 ST-D,4379.732026,14
88 ST-A,4231.75817,15
VAN SICLEN AV-JZ,4216.464052,16
ZEREGA AV-6,4155.699346,17
86 ST-N,4125.895425,1
